Name,Scholar ID,Affiliation,Total Citations,H-index,I10-index,Research Interests,Scholar URL
Saleem Ali,fY00s6YAAAAJ,"Distinguished Professor Geography and Spatial Sciences, University of Delaware, USA",13301,47,136,"conflict resolution, extractive industries, mining, oil, gas",https://scholar.google.com/citations?user=fY00s6YAAAAJ
Benjamin E. Bagozzi,160JQvcAAAAJ,"Professor of Political Science & International Relations, University of Delaware",1273,20,28,"Political Methodology, International Relations, Computational Social Science, Environmental Politics",https://scholar.google.com/citations?user=160JQvcAAAAJ
Jeffrey Buler,p1VpTnoAAAAJ,University of Delaware,2440,26,39,"ornithology, radar, aeroecology",https://scholar.google.com/citations?user=p1VpTnoAAAAJ
Sunita Chandrasekaran,0WqSN40AAAAJ,"Associate Professor, Dept. of CIS, University of Delaware",1172,19,34,"High Performance Computing, Parallel Programming, OpenMP, OpenACC, Supercomputing",https://scholar.google.com/citations?user=0WqSN40AAAAJ
Bintong Chen,DvM7F3IAAAAJ,"Professor, Lener College of Business and Economics, University of Delaware",4206,36,52,"Optimization, supply chain",https://scholar.google.com/citations?user=DvM7F3IAAAAJ
Shanshan Ding,QPX3HfAAAAAJ,"Associate Professor of Statistics, University of Delaware",432,11,12,"Dimension reduction, High-dimensional statistics, Statistical machine learning, Multivariate analysis",https://scholar.google.com/citations?user=QPX3HfAAAAAJ
Vu Dinh,n5niSOoAAAAJ,University of Delaware,556,11,13,"Phylogenetics, Machine learning, Uncertainty quantification",https://scholar.google.com/citations?user=n5niSOoAAAAJ
Gregory Dobler,WRTzLdgAAAAJ,University of Delaware,4987,29,43,,https://scholar.google.com/citations?user=WRTzLdgAAAAJ
Rudolf Eigenmann,pM3DuC0AAAAJ,"Professor of Electrical and Computer Engineering, University of Delaware",8890,47,119,"compilers and programming tools for parallel computing, cyberinfrastructure",https://scholar.google.com/citations?user=pM3DuC0AAAAJ
Xiao Fang,5RZOkYsAAAAJ,"Professor of Management Information Systems, University of Delaware",1589,20,28,"FinTech, social network analytics, machine learning, healthcare analytics",https://scholar.google.com/citations?user=5RZOkYsAAAAJ
Adam Fleischhacker,ZMURHsMAAAAJ,University of Delaware,218,9,8,,https://scholar.google.com/citations?user=ZMURHsMAAAAJ
John Gizis,rGLuKDYAAAAJ,"Professor of Physics and Astronomy, University of Delaware",33850,65,142,"Astronomy, Observational Astronomy, Very-Low-Mass Stars, Brown Dwarfs, Physics",https://scholar.google.com/citations?user=rGLuKDYAAAAJ
